ID,Title,Authors,Year,Abstract,URL,Citations,DOI,Venue
automatedgenerationo-2024,Automated Generation of Massive Reasonable Empirical Theorems by Forward Reasoning Based on Strong Relevant Logics - A Solution to the Problem of LLM Pre-training Data Exhaustion,Jingde Cheng,2024,"Recently, it is often said that the data used for the pre-training of large language models (LLMs) have been exhausted. This paper proposes a solution to the problem: Automated generation of massive reasonable empirical theorems by forward reasoning based on strong relevant logics. In fact, this can be regarded as a part of our approach to the problems of ATF (Automated Theorem Finding) and AKA (Automated Knowledge Appreciation).",https://www.semanticscholar.org/paper/68f4e34312ed209300e3e16a67b3b5c51e2c5dd7,,10.48550/arXiv.2412.12408,arXiv.org
bioinspiredllmconver-2023,BioinspiredLLM: Conversational Large Language Model for the Mechanics of Biological and Bio‐Inspired Materials,Rachel K. Luu; M. Buehler,2023,"The study of biological materials and bio‐inspired materials science is well established; however, surprisingly little knowledge is systematically translated to engineering solutions. To accelerate discovery and guide insights, an open‐source autoregressive transformer large language model (LLM), BioinspiredLLM, is reported. The model is finetuned with a corpus of over a thousand peer‐reviewed articles in the field of structural biological and bio‐inspired materials and can be prompted to recall information, assist with research tasks, and function as an engine for creativity. The model has proven that it is able to accurately recall information about biological materials and is further strengthened with enhanced reasoning ability, as well as with Retrieval‐Augmented Generation (RAG) to incorporate new data during generation that can also help to traceback sources, update the knowledge base, and connect knowledge domains. BioinspiredLLM also has shown to develop sound hypotheses regarding biological materials design and remarkably so for materials that have never been explicitly studied before. Lastly, the model shows impressive promise in collaborating with other generative artificial intelligence models in a workflow that can reshape the traditional materials design process. This collaborative generative artificial intelligence method can stimulate and enhance bio‐inspired materials design workflows. Biological materials are at a critical intersection of multiple scientific fields and models like BioinspiredLLM help to connect knowledge domains.",https://www.semanticscholar.org/paper/8db921900955a447d389582143912eee3046fd3e,74,10.1002/advs.202306724,Advancement of science
causalstructurelearn-2023,Causal Structure Learning Supervised by Large Language Model,Taiyu Ban; Lyuzhou Chen; Derui Lyu; Xiangyu Wang; Huanhuan Chen,2023,"Causal discovery from observational data is pivotal for deciphering complex relationships. Causal Structure Learning (CSL), which focuses on deriving causal Directed Acyclic Graphs (DAGs) from data, faces challenges due to vast DAG spaces and data sparsity. The integration of Large Language Models (LLMs), recognized for their causal reasoning capabilities, offers a promising direction to enhance CSL by infusing it with knowledge-based causal inferences. However, existing approaches utilizing LLMs for CSL have encountered issues, including unreliable constraints from imperfect LLM inferences and the computational intensity of full pairwise variable analyses. In response, we introduce the Iterative LLM Supervised CSL (ILS-CSL) framework. ILS-CSL innovatively integrates LLM-based causal inference with CSL in an iterative process, refining the causal DAG using feedback from LLMs. This method not only utilizes LLM resources more efficiently but also generates more robust and high-quality structural constraints compared to previous methodologies. Our comprehensive evaluation across eight real-world datasets demonstrates ILS-CSL's superior performance, setting a new standard in CSL efficacy and showcasing its potential to significantly advance the field of causal discovery. The codes are available at \url{https://github.com/tyMadara/ILS-CSL}.",https://www.semanticscholar.org/paper/9e557a199972b963d8ac064ac6e625c115c03cde,23,10.48550/arXiv.2311.11689,arXiv.org
chatrulemininglogica-2023,ChatRule: Mining Logical Rules with Large Language Models for Knowledge Graph Reasoning,Linhao Luo; Jiaxin Ju; Bo Xiong; Yuan-Fang Li; Gholamreza Haffari; Shirui Pan,2023,"Logical rules are essential for uncovering the logical connections between relations, which could improve reasoning performance and provide interpretable results on knowledge graphs (KGs). Although there have been many efforts to mine meaningful logical rules over KGs, existing methods suffer from computationally intensive searches over the rule space and a lack of scalability for large-scale KGs. Besides, they often ignore the semantics of relations which is crucial for uncovering logical connections. Recently, large language models (LLMs) have shown impressive performance in the field of natural language processing and various applications, owing to their emergent ability and generalizability. In this paper, we propose a novel framework, ChatRule, unleashing the power of large language models for mining logical rules over knowledge graphs. Specifically, the framework is initiated with an LLM-based rule generator, leveraging both the semantic and structural information of KGs to prompt LLMs to generate logical rules. To refine the generated rules, a rule ranking module estimates the rule quality by incorporating facts from existing KGs. Last, the ranked rules can be used to conduct reasoning over KGs. ChatRule is evaluated on four large-scale KGs, w.r.t. different rule quality metrics and downstream tasks, showing the effectiveness and scalability of our method.",https://www.semanticscholar.org/paper/18664b47516ba5424ba5efa79d3f816224245325,40,10.48550/arXiv.2309.01538,Pacific-Asia Conference on Knowledge Discovery and Data Mining
coevocontinualevolut-2024,CoEvo: Continual Evolution of Symbolic Solutions Using Large Language Models,Ping Guo; Qingfu Zhang; Xi Lin,2024,"The discovery of symbolic solutions -- mathematical expressions, logical rules, and algorithmic structures -- is fundamental to advancing scientific and engineering progress. However, traditional methods often struggle with search efficiency and fail to integrate knowledge effectively. While recent large language model-based (LLM-based) approaches have demonstrated improvements in search efficiency, they lack the ability to continually refine and expand upon discovered solutions and their underlying knowledge, limiting their potential for open-ended innovation. To address these limitations, we introduce CoEvo, a novel framework that leverages large language models within an evolutionary search methodology to continually generate and refine symbolic solutions. CoEvo integrates a dynamic knowledge library, enabling open-ended innovation of solutions through effective knowledge management. Additionally, CoEvo leverages multiple representations of solutions -- including natural language, mathematical expressions, and code -- to further enhance search efficiency. By combining the reasoning capabilities of LLMs with the exploratory power of evolutionary algorithms, CoEvo significantly improves the efficiency and scope of symbolic discovery. Our experimental results demonstrate that this method not only enhances the efficiency of searching for symbolic solutions but also supports the ongoing discovery process, akin to human scientific endeavors. This study represents a first effort in conceptualizing the search for symbolic solutions as a lifelong, iterative process, marking a significant step towards harnessing LLMs in the perpetual pursuit of scientific and engineering breakthroughs. Our code is available at https://github.com/pgg3/CoEvo.",https://www.semanticscholar.org/paper/b9fcf65bbc51d4e07aa936f1eb3d66f7139517ab,3,10.48550/arXiv.2412.18890,arXiv.org
conjecturinganoverlo-2025,Conjecturing: An Overlooked Step in Formal Mathematical Reasoning,Jasivan Sivakumar; Philipp Borchert; Ronald Cardenas; Gerasimos Lampouras,2025,"Autoformalisation, the task of expressing informal mathematical statements in formal language, is often viewed as a direct translation process. This, however, disregards a critical preceding step: conjecturing. Many mathematical problems cannot be formalised directly without first conjecturing a conclusion such as an explicit answer, or a specific bound. Since Large Language Models (LLMs) already struggle with autoformalisation, and the evaluation of their conjecturing ability is limited and often entangled within autoformalisation or proof, it is particularly challenging to understand its effect. To address this gap, we augment existing datasets to create ConjectureBench, and redesign the evaluation framework and metric specifically to measure the conjecturing capabilities of LLMs both as a distinct task and within the autoformalisation pipeline. Our evaluation of foundational models, including GPT-4.1 and DeepSeek-V3.1, reveals that their autoformalisation performance is substantially overestimated when the conjecture is accounted for during evaluation. However, the conjecture should not be assumed to be provided. We design an inference-time method, Lean-FIRe to improve conjecturing and autoformalisation, which, to the best of our knowledge, achieves the first successful end-to-end autoformalisation of 13 PutnamBench problems with GPT-4.1 and 7 with DeepSeek-V3.1. We demonstrate that while LLMs possess the requisite knowledge to generate accurate conjectures, improving autoformalisation performance requires treating conjecturing as an independent task, and investigating further how to correctly integrate it within autoformalisation. Finally, we provide forward-looking guidance to steer future research toward improving conjecturing, an overlooked step of formal mathematical reasoning.",https://www.semanticscholar.org/paper/f4d9b023987fac3f5a75259341da45edcbe47e34,,10.48550/arXiv.2510.11986,arXiv.org
6,Constructions in combinatorics via neural networks,Adam Zsolt Wagner,2021,"We demonstrate how by using a reinforcement learning algorithm, the deep cross-entropy method, one can find explicit constructions and counterexamples to several open conjectures in extremal combinatorics and graph theory. Amongst the conjectures we refute are a question of Brualdi and Cao about maximizing permanents of pattern avoiding matrices, and several problems related to the adjacency and distance eigenvalues of graphs.",https://arxiv.org/abs/2104.14516,52,10.48550/arXiv.2104.14516,arXiv
3,Discovering faster matrix multiplication algorithms with reinforcement learning,"Alhussein Fawzi, Matej Balog, Aja Huang, Thomas Hubert, Bernardino Romera-Paredes, Mohammadamin Barekatain, Alexander Novikov, Francisco J.R. Ruiz, Julian Schrittwieser, Grzegorz Swirszcz, David Silver, Demis Hassabis, Pushmeet Kohli",2022,"Improving the efficiency of algorithms for fundamental computations can have a widespread impact, as it can affect the overall speed of a large amount of computations. Matrix multiplication is one such primitive task, occurring in many systems—from neural networks to scientific computing routines. The automatic discovery of algorithms using machine learning offers the prospect of reaching beyond human intuition and outperforming the current best human-designed algorithms. However, automating the algorithm discovery procedure is intricate, as the space of possible algorithms is enormous. Here we report a deep reinforcement learning approach based on AlphaZero for discovering efficient and provably correct algorithms for the multiplication of arbitrary matrices. Our agent, AlphaTensor, is trained to play a single-player game where the objective is finding tensor decompositions within a finite factor space. AlphaTensor discovered algorithms that outperform the state-of-the-art complexity for many matrix sizes. Particularly relevant is the case of 4 × 4 matrices in a finite field, where AlphaTensor’s algorithm improves on Strassen’s two-level algorithm for the first time, to our knowledge, since its discovery 50 years ago. We further showcase the flexibility of AlphaTensor through different use-cases: algorithms with state-of-the-art complexity for structured matrix multiplication and improved practical efficiency by optimizing matrix multiplication for runtime on specific hardware. Our results highlight AlphaTensor’s ability to accelerate the process of algorithmic discovery on a range of problems, and to optimize for different criteria.",https://www.nature.com/articles/s41586-022-05172-4,N/A,10.1038/s41586-022-05172-4,Nature
discoveringnewtheore-2025,Discovering New Theorems via LLMs with In-Context Proof Learning in Lean,Kazumi Kasaura; Naoto Onda; Yuta Oriike; Masaya Taniguchi; Akiyoshi Sannai; Sho Sonoda,2025,"Large Language Models have demonstrated significant promise in formal theorem proving. However, previous works mainly focus on solving existing problems. In this paper, we focus on the ability of LLMs to find novel theorems. We propose Conjecturing-Proving Loop pipeline for automatically generating mathematical conjectures and proving them in Lean 4 format. A feature of our approach is that we generate and prove further conjectures with context including previously generated theorems and their proofs, which enables the generation of more difficult proofs by in-context learning of proof strategies without changing parameters of LLMs. We demonstrated that our framework rediscovered theorems with verification, which were published in past mathematical papers and have not yet formalized. Moreover, at least one of these theorems could not be proved by the LLM without in-context learning, even in natural language, which means that in-context learning was effective for neural theorem proving. The source code is available at https://github.com/auto-res/ConjecturingProvingLoop.",https://www.semanticscholar.org/paper/3613bc54e805538a908eb1f33da10c1df0b709c6,,10.48550/arXiv.2509.14274,arXiv.org
dynamicmodelsofneura-2024,Dynamic Models of Neural Population Dynamics,Han Hao; Kai Zhang; Momiao Xiong,2024,"The recent developments in artificial intelligence (AI) increase the hope that AI can provide a powerful tool to facilitate scientific discovery and to generate and validate new ideas for scientific research autonomously. Large Language Models (LLMs), such as ChatGPT4 have demonstrated remarkable capabilities in understanding and generating human-like text. Their potential extends beyond simple language tasks, offering transformative possibilities in scientific research of all fields. By leveraging vast amounts of data and advanced computational power, LLMs can assist researchers in generating novel ideas, automating routine tasks, and fostering interdisciplinary collaborations. On September 12, 2024, OpenAI released their updated generative artificial intelligence system called ChatGPTo1. This new AI system, built upon chain-of-thought and reinforcement learning, has greatly enhanced logical reasoning abilities and can effectively solve various complex problems from elementary-level mathematical problems to modern scientific research issues in physics, chemistry, and biology. Unlike previous LLMs in which logical reasoning and data analysis abilities are developed through training on actual data, ChatGPTo1 logical reasoning ability and capacity to generate new scientific ideas are primarily acquired through chain-of-thought processes and reinforcement learning rather than pre-training. To examine this, we specifically tested ChatGPTo1 current reasoning and scientific discovery capabilities by developing theoretically complex and quantitatively challenging scientific equations in various fields of neuroscience, such as dynamical systems, nonlinear dynamical systems, dynamical systems on differential manifolds, neural field theory, nonlinear divergence theorems, nonlinear heat conduction equations and Laplace equations and their extensions on differential manifolds, nonlinear statistical analysis methods, deep learning, and other topics involving multiple fields. The current large language models may illustrate a certain degree of general intelligence, even if fundamentally it may be different from human intelligence. However, it does not mean the current LLMs can fully apply such ability in practical applications or that their reasoning potential can be fully tapped. It is essential to explore specific pathways and methods to cultivate their potential for scientific discovery. To accomplish this, we consider how to integrate them with common search engines (such as Google) capabilities and ChatGPT4o cross-modal abilities to better understand new disciplines and scientific discoveries. To this point, the major shortcoming of ChatGPTo1 is that it is not an end-to-end scientific discovery method and lacks the ability to achieve full automation. It also lacks methods for image analysis and full-scale data analysis, making it difficult to use simulation and data analysis to evaluate and test proposed new theories and methods.",https://www.semanticscholar.org/paper/0ca7d0a8541404cbcad23fcaa3cb073e691caa81,,10.1101/2024.10.04.616750,bioRxiv
explainingpatternsin-2022,Explaining Patterns in Data with Language Models via Interpretable Autoprompting,Chandan Singh; John X. Morris; J. Aneja; Alexander M. Rush; Jianfeng Gao,2022,"Large language models (LLMs) have displayed an impressive ability to harness natural language to perform complex tasks. In this work, we explore whether we can leverage this learned ability to find and explain patterns in data. Specifically, given a pre-trained LLM and data examples, we introduce interpretable autoprompting (iPrompt), an algorithm that generates a natural-language string explaining the data. iPrompt iteratively alternates between generating explanations with an LLM and reranking them based on their performance when used as a prompt. Experiments on a wide range of datasets, from synthetic mathematics to natural-language understanding, show that iPrompt can yield meaningful insights by accurately finding groundtruth dataset descriptions. Moreover, the prompts produced by iPrompt are simultaneously human-interpretable and highly effective for generalization: on real-world sentiment classification datasets, iPrompt produces prompts that match or even improve upon human-written prompts for GPT-3. Finally, experiments with an fMRI dataset show the potential for iPrompt to aid in scientific discovery. All code for using the methods and data here is made available on Github.",https://www.semanticscholar.org/paper/224b8cd8c31cfa86c2a84bec3a65d9ba44f38280,,,
CEUR-WS:Vol-3432-paper5,Exploring Mathematical Conjecturing with Large Language Models,Moa Johansson; Nicholas Smallbone,2023,"The task of automating the discovery of mathematical conjectures has so far primarily been addressed in symbolic systems. However, a neuro-symbolic architecture seems like an excellent fit for this task. We can assign the generative task to a neural system without much risk, even if a few non-theorems slip through, the results are checked afterwards using a symbolic theorem prover or counter-example finder. In this initial case-study, we investigate the capabilities of GPT-3.5 and GPT-4 on this task. While results are mixed, we see potential in improving on the weaknesses of purely symbolic systems. A neuro-symbolic theory exploration system could, for instance, add some more variation in conjectures over purely symbolic systems while not missing obvious candidates.",https://ceur-ws.org/Vol-3432/paper5.pdf,16,,NeSy 2023 (CEUR-WS)
findinginductiveloop-2023,Finding Inductive Loop Invariants using Large Language Models,Adharsh Kamath; Aditya Senthilnathan; Saikat Chakraborty; Pantazis Deligiannis; Shuvendu K. Lahiri; Akash Lal; Aseem Rastogi; Subhajit Roy; Rahul Sharma,2023,"Loop invariants are fundamental to reasoning about programs with loops. They establish properties about a given loop's behavior. When they additionally are inductive, they become useful for the task of formal verification that seeks to establish strong mathematical guarantees about program's runtime behavior. The inductiveness ensures that the invariants can be checked locally without consulting the entire program, thus are indispensable artifacts in a formal proof of correctness. Finding inductive loop invariants is an undecidable problem, and despite a long history of research towards practical solutions, it remains far from a solved problem. This paper investigates the capabilities of the Large Language Models (LLMs) in offering a new solution towards this old, yet important problem. To that end, we first curate a dataset of verification problems on programs with loops. Next, we design a prompt for exploiting LLMs, obtaining inductive loop invariants, that are checked for correctness using sound symbolic tools. Finally, we explore the effectiveness of using an efficient combination of a symbolic tool and an LLM on our dataset and compare it against a purely symbolic baseline. Our results demonstrate that LLMs can help improve the state-of-the-art in automated program verification.",https://www.semanticscholar.org/paper/5824788bc6b355e1a655add875b100541aef4b59,34,10.48550/arXiv.2311.07948,arXiv.org
fromdatatophysicsana-2025,From Data to Physics: An Agentic Large Language Model Solves a Competitive Adsorption Puzzle.,Bingling Dai; Yuhang Song; Yue Zhan; Yibin Jiang; Cheng Wang,2025,"Scientific modeling often requires navigating a trade-off between physical interpretability and empirical accuracy-a task that can take weeks of iteration, especially in systems with partial observability, structural complexity, and experimental errors. Here, we show how an agentic reasoning-and-coding large language model (LLM), OpenAI o3, autonomously solved a modeling challenge in surface chemistry that puzzled us for months: quantifying the competitive adsorption of carboxylic acids on metal-organic layers (MOLs). With experimental data and a concise problem formulation, o3 rapidly formulated a physically grounded adsorption model, derived the mathematical equations, implemented the corresponding codes to fit the experimental data, revised its assumptions, and ultimately derived a competitive adsorption model with three parameters that matched experimental data across more than a dozen tested molecules. The resulting model-simple, mechanistically transparent, and quantitatively robust-incorporates both classical Langmuir competition and structural constraints such as site accessibility. Beyond addressing this particular challenge, our findings highlight a transformative shift in scientific methodology: from manual trial-and-error approaches to AI-driven hypothesis generation and model refinement. This represents a new paradigm in research, wherein language models surpass the traditional roles of machine learning in data analysis and computational support, actively participating in scientific reasoning and hypothesis development.",https://www.semanticscholar.org/paper/7235d20961089e9296b17465e718dafcb10c83d8,,10.1002/anie.202512151,Angewandte Chemie
